Time,Home Value,Equity,HEP Expectation
1050,274707.6114,148146.2864,137591.9604
1080,274471.7034,147910.3784,137403.8795
1110,276566.763,150005.438,139074.1954
1140,273359.7148,146798.3898,136517.3308
1170,272446.1147,145884.7896,135788.9501
1200,282459.7578,155898.4328,143772.4689
1230,280956.3118,154394.9868,142573.8253
1260,309322.4477,182761.1227,165189.1289
1290,312112.848,185551.523,167413.8151
1320,311737.7759,185176.4509,167114.7835
1350,313126.6688,186565.3438,168222.0981
1380,311708.1582,185146.8332,167091.1704
1410,318045.6388,191484.3138,172143.8165
1440,322114.9522,195553.6272,175388.1343
1470,320200.0153,193638.6902,173861.4237
1500,316017.9152,189456.5902,170527.1852
1530,340252.8176,213691.4925,189848.8043
1560,333797.9661,207236.6411,184702.5825
1590,342281.0066,215719.6816,191465.8067
1620,345496.8812,218935.5561,194029.7083
1650,350913.9129,224352.5879,198348.5135
1680,351555.484,224994.159,198860.0152
1710,353844.7205,227283.3955,200685.1414
1740,354072.967,227511.642,200867.1142
1770,353496.6677,226935.3427,200407.6514
1800,356123.3514,229562.0264,202501.8122
Time,Home Value,Equity,HEP Expectation
0,193149.0138,108278.3488,99389.68375
1,193469.2264,108598.5614,99644.97776
2,193646.8675,108776.2025,99786.60462
3,193503.2005,108632.5355,99672.06407
4,193738.2586,108867.5936,99859.46749
5,193881.5623,109010.8973,99973.71841
6,194656.9023,109786.2372,100591.8692
7,194301.8,109431.135,100308.7589
8,194699.0396,109828.3745,100625.4637
9,194649.4927,109778.8277,100585.9618
10,194915.8177,110045.1526,100798.2931
11,195057.9422,110187.2772,100911.6039
12,194771.9693,109901.3042,100683.6079
13,195107.21,110236.545,100950.8834
14,194864.8383,109994.1733,100757.6491
15,194806.9913,109936.3262,100711.5297
16,195092.6547,110221.9897,100939.279
17,193923.3749,109052.7099,100007.0541
18,194261.8164,109391.1514,100276.8814
19,193945.8783,109075.2133,100024.9953
20,193596.5329,108725.8679,99746.47469
21,193664.9589,108794.2939,99801.02825
22,193464.1123,108593.4473,99640.90045
23,193271.5229,108400.8578,99487.3558
24,193741.5277,108870.8627,99862.07383
25,193497.9993,108627.3343,99667.91735
26,193516.3018,108645.6368,99682.5093
27,193499.3799,108628.7149,99669.01805
28,193848.5211,108977.8561,99947.37583
29,194084.7643,109214.0993,100135.7241
30,193451.4216,108580.7566,99630.7826
60,195951.2296,111080.5645,101623.7899
90,193010.5193,108139.8543,99279.26701
120,192438.2968,107567.6318,98823.05453
150,191719.0252,106848.3602,98249.60504
180,188916.4774,104045.8123,96015.23409
210,187636.8422,102766.1772,94995.02684
240,184594.6213,99723.95627,92569.57315
270,184058.1521,99187.48712,92141.86552
300,186978.3763,102107.7113,94470.05556
330,185429.9972,100559.3322,93235.5884
360,186518.0534,101647.3884,94103.05664
390,187212.2615,102341.5965,94656.52391
420,184880.5082,100009.8431,92797.50049
450,185111.0118,100240.3468,92981.27279
480,185156.7543,100286.0893,93017.74167
510,186309.809,101439.144,93937.03083
540,189830.3303,104959.6653,96743.81633
570,190533.4883,105662.8233,97304.41899
600,188920.8252,104050.1602,96018.7005
630,190941.7718,106071.1067,97629.92875
660,191903.5083,107032.8432,98396.68678
690,192894.5988,108023.9338,99186.84777
720,192301.4933,107430.8283,98713.98601
750,190169.4706,105298.8055,97014.20068
780,188169.8792,103299.2142,95419.99814
810,186438.94,101568.275,94039.98234
840,187221.6894,102351.0243,94664.04036
870,189057.5556,104186.8905,96127.7107
900,185977.4513,101106.7863,93672.05397
930,185322.6971,100452.0321,93150.04191
960,182953.025,98082.36001,91260.78728
990,182646.0145,97775.34944,91016.01875
1020,180335.1452,95464.4802,89173.64553
1050,181001.6103,96130.94525,89704.99423
1080,181601.5797,96730.91471,90183.32837
1110,182360.9579,97490.29289,90788.75338
1140,183175.8313,98305.16631,91438.42276
1170,184947.617,100076.952,92851.00398
1200,187634.2773,102763.6123,94992.98193
1230,187495.2492,102624.5841,94882.1398
1260,189485.2342,104614.5692,96468.68357
1290,190597.0965,105726.4314,97355.13147
1320,192940.6573,108069.9922,99223.56851
1350,194346.2423,109475.5773,100344.1911
1380,194845.6748,109975.0098,100742.3708
1410,196797.3115,111926.6465,102298.3407
1440,195913.1637,111042.4987,101593.4414
1470,197263.272,112392.607,102669.8344
1500,195294.9425,110424.2775,101100.5557
1530,196175.1911,111304.5261,101802.3464
1560,196853.1609,111982.4958,102342.8674
1590,199128.1376,114257.4725,104156.6248
1620,200168.5336,115297.8686,104986.0953
1650,203501.821,118631.1559,107643.6058
1680,206143.103,121272.4379,109749.4053
1710,231870.783,147000.118,130261.1626
1740,234218.3556,149347.6906,132132.7981
1770,228976.0558,144105.3907,127953.3003
1800,228955.4773,144084.8123,127936.8939
Time,Home Value,Equity,HEP Expectation
0,231690.0111,7344.916846,40386.88774
1,231462.936,7117.841745,40205.8489
2,232098.5559,7753.461731,40712.60594
3,232559.792,8214.697824,41080.33294
4,232709.4067,8364.312508,41199.61537
5,232178.7379,7833.643692,40776.53214
6,232098.1316,7753.037379,40712.26762
7,231940.4053,7595.311091,40586.5181
8,232088.2851,7743.190844,40704.41733
9,232115.0004,7769.906167,40725.7165
10,231768.1198,7423.025625,40449.16107
11,231894.2091,7549.114884,40549.68752
12,231432.4219,7087.327648,40181.52111
13,231815.2547,7470.160471,40486.74
14,232554.8819,8209.787731,41076.4183
15,232142.7309,7797.636718,40747.82507
16,231503.2537,7158.159479,40237.99279
17,231373.5214,7028.427152,40134.56185
18,231782.8986,7437.804387,40460.94365
19,232488.4794,8143.385231,41023.47797
20,233009.6449,8664.550661,41438.98449
21,232782.6037,8437.509448,41257.97267
22,232879.5389,8534.444722,41335.25569
23,233330.8627,8985.768449,41695.07992
24,234026.5768,9681.482593,42249.74787
25,233766.3921,9421.297875,42042.31192
26,234379.9475,10034.85329,42531.47767
27,235038.7549,10693.66065,43056.72116
28,235325.4838,10980.38954,43285.31983
29,236342.3207,11997.22644,44096.00745
30,237035.6892,12690.59495,44648.80531
60,238158.9105,13813.8163,45544.30945
90,237440.4724,13095.37814,44971.52445
120,233068.7228,8723.628613,41486.08522
150,238102.7241,13757.6299,45499.51404
180,240679.0723,16333.97806,47553.54409
210,243087.4966,18742.40244,49473.69454
240,242086.3728,17741.27859,48675.53437
270,243058.3154,18713.22114,49450.42934
300,240887.7204,16542.62615,47719.89174
330,242862.7766,18517.68238,49294.53329
360,243505.6796,19160.58541,49807.09684
390,243594.9236,19249.82938,49878.24786
420,240218.4098,15873.31561,47186.27443
450,235389.7668,11044.67255,43336.57037
480,235681.5576,11336.46342,43569.20478
510,234907.7769,10562.68271,42952.29714
540,233515.337,9170.242794,41842.1547
570,231572.9014,7227.80714,40293.52037
